AÑO;MES;DISTRITO;FUEGOS;DAÑOS EN CONSTRUCCION;SALVAMENTOS Y RESCATES;DAÑOS POR AGUA;INCIDENTES DIVERSOS;SALIDAS SIN INTERVENCION;SERVICIOS VARIOS;TOTAL
2018;Enero;CENTRO;22;31;38;21;32;14;6;164
2018;Enero;ARGANZUELA;15;2;21;7;15;18;9;87
2018;Enero;RETIRO;8;2;18;3;7;8;4;50
2018;Enero;SALAMANCA;16;7;25;8;13;8;3;80
2018;Enero;CHAMARTIN;18;6;19;10;22;5;5;85
2018;Enero;TETUAN;11;4;24;8;18;5;4;74
2018;Enero;CHAMBERI;16;8;25;9;13;10;4;85
2018;Enero;FUENCARRAL;19;4;25;10;19;12;7;96
2018;Enero;MONCLOA;18;5;14;7;15;13;1;73
2018;Enero;LATINA;22;4;30;13;19;10;4;102
2018;Enero;CARABANCHEL;45;5;32;6;19;14;5;126
2018;Enero;USERA;27;5;20;2;7;2;4;67
2018;Enero;PUENTE VALLECAS;41;6;29;11;18;19;7;131
2018;Enero;MORATALAZ;4;0;7;3;5;8;2;29
2018;Enero;CIUDAD LINEAL;33;13;27;12;17;11;6;119
2018;Enero;HORTALEZA;19;3;15;6;6;12;2;63
2018;Enero;VILLAVERDE;43;2;22;7;12;8;2;96
2018;Enero;VILLA DE VALLECAS;24;1;9;3;8;6;4;55
2018;Enero;VICALVARO;8;3;6;3;4;8;2;34
2018;Enero;SAN BLAS;19;3;23;7;11;5;5;73
2018;Enero;BARAJAS;5;0;3;3;6;4;1;22
2018;Febrero;CENTRO;25;23;31;18;31;21;5;154
2018;Febrero;ARGANZUELA;20;10;12;8;8;6;10;74
2018;Febrero;RETIRO;6;7;13;3;15;2;1;47
2018;Febrero;SALAMANCA;19;13;18;6;10;7;3;76
2018;Febrero;CHAMARTIN;20;6;12;9;19;6;10;82
2018;Febrero;TETUAN;20;12;22;9;14;10;7;94
2018;Febrero;CHAMBERI;21;12;19;16;15;13;3;99
2018;Febrero;FUENCARRAL;19;1;24;6;24;10;3;87
2018;Febrero;MONCLOA;15;7;13;8;17;8;2;70
2018;Febrero;LATINA;14;6;21;14;22;8;6;91
2018;Febrero;CARABANCHEL;30;5;16;10;23;9;4;97
2018;Febrero;USERA;11;2;14;9;8;6;3;53
2018;Febrero;PUENTE VALLECAS;27;5;25;13;17;13;4;104
2018;Febrero;MORATALAZ;9;5;13;3;1;3;1;35
2018;Febrero;CIUDAD LINEAL;17;4;14;9;20;10;0;74
2018;Febrero;HORTALEZA;13;2;13;6;14;12;2;62
2018;Febrero;VILLAVERDE;31;2;15;3;10;7;2;70
2018;Febrero;VILLA DE VALLECAS;17;2;5;6;12;6;0;48
2018;Febrero;VICALVARO;11;1;7;7;5;2;0;33
2018;Febrero;SAN BLAS;11;2;19;6;12;5;4;59
2018;Febrero;BARAJAS;6;3;4;0;2;5;2;22
2018;Febrero;FUERA TERMINO MUNICIPAL;1;0;0;0;0;0;0;1
2018;Marzo;CENTRO;46;63;32;26;57;21;6;251
2018;Marzo;ARGANZUELA;13;15;24;11;48;14;14;139
2018;Marzo;RETIRO;6;17;19;12;45;8;2;109
2018;Marzo;SALAMANCA;15;24;13;17;47;14;5;135
2018;Marzo;CHAMARTIN;16;19;16;12;76;22;6;167
2018;Marzo;TETUAN;18;27;18;17;34;12;0;126
2018;Marzo;CHAMBERI;21;40;15;14;41;11;1;143
2018;Marzo;FUENCARRAL;15;14;25;21;91;24;2;192
2018;Marzo;MONCLOA;17;21;20;17;125;21;1;222
2018;Marzo;LATINA;29;25;25;13;115;26;11;244
2018;Marzo;CARABANCHEL;35;29;25;17;85;16;7;214
2018;Marzo;USERA;9;14;10;8;30;11;4;86
